#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
0;04/04/2024 19:35:58;IRP_MJ_WRITE;DOWN;;2d 43 ;"-C";2;2;COM5;;
1;04/04/2024 19:35:58;IRP_MJ_WRITE;UP;STATUS_SUCCESS;2d 43 ;"-C";2;;COM5;;
2;04/04/2024 19:36:16;IRP_MJ_WRITE;DOWN;;2d 43 4d 58 20 31 30 ;"-CMX 10";7;7;COM5;;
3;04/04/2024 19:36:16;IRP_MJ_WRITE;UP;STATUS_SUCCESS;2d 43 4d 58 20 31 30 ;"-CMX 10";7;;COM5;;
4;04/04/2024 19:38:32;IRP_MJ_WRITE;DOWN;;2d 43 43 4f 4e 46 53 45 54 3a 73 74 65 70 74 20 6d 69 63 72 6f ;"-CCONFSET:stept micro";21;21;COM5;;
5;04/04/2024 19:38:32;IRP_MJ_WRITE;UP;STATUS_SUCCESS;2d 43 43 4f 4e 46 53 45 54 3a 73 74 65 70 74 20 6d 69 63 72 6f ;"-CCONFSET:stept micro";21;;COM5;;
6;04/04/2024 19:38:49;IRP_MJ_WRITE;DOWN;;2d 43 4d 59 20 31 30 30 ;"-CMY 100";8;8;COM5;;
7;04/04/2024 19:38:49;IRP_MJ_WRITE;UP;STATUS_SUCCESS;2d 43 4d 59 20 31 30 30 ;"-CMY 100";8;;COM5;;
8;04/04/2024 19:39:12;IRP_MJ_WRITE;DOWN;;43 2d 4d 58 20 31 30 ;"C-MX 10";7;7;COM5;;
9;04/04/2024 19:39:12;IRP_MJ_WRITE;UP;STATUS_SUCCESS;43 2d 4d 58 20 31 30 ;"C-MX 10";7;;COM5;;
10;04/04/2024 19:39:14;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_WAIT_MASK);DOWN;;;"";;;COM5;;
11;04/04/2024 19:39:14;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_WAIT_MASK);UP;STATUS_SUCCESS;19 01 00 00 ;"....";4;;COM5;;
